1, 36.166191292469634-111.07782412675124, -11, Humid continental,  Alabama 

2, 35.97347337307919-88.99030725898652, 5, Humid continental,  Alaska 

3, 37.75073617935589-104.17554802486366, 5, Mediterranean,  Arizona 

4, 35.90265985657453-75.6517880639097, -2, Alpine,  Arkansas 

5, 36.62080979254004-102.5400705438532, -9, Oceanic,  California 

6, 34.16277481674376-90.59287707219055, -1, Oceanic,  Colorado 

7, 36.60490979622801-93.97231381068966, -7, Humid continental,  Connecticut 

8, 34.83072929865608-82.22392826830585, 10, Tropical rainforest,  Delaware 

9, 37.486677202887236-101.5880468481062, -5, Tropical rainforest,  Florida 

10, 34.76887543257909-112.44907116153294, -4, Oceanic,  Georgia 

11, 34.20329802808324-115.66564554137149, -4, Tropical monsoon,  Hawaii 

12, 34.17326359695981-110.85040334067817, 3, Tropical savanna,  Idaho 

13, 39.40101321533015-92.51051531492689, -7, Mediterranean,  Illinois 

14, 38.57762736075183-116.43870509102442, -11, Tropical savanna,  Indiana 

15, 36.21485149933435-83.03467230314175, -3, Tropical savanna,  Iowa 

16, 36.89455632558375-110.22011996304796, -5, Desert,  Kansas 

17, 35.5147985856189-90.72667264558429, 10, Ice cap,  Kentucky[E] 

18, 38.54983421205873-99.40959154425128, 2, Desert,  Louisiana 

19, 34.04366640665094-98.33948153059538, -2, Mediterranean,  Maine 

20, 38.54872877364364-96.80516821812697, 1, Tropical savanna,  Maryland 

21, 36.411967149336-76.64230986283539, -8, Desert,  Massachusetts[E] 

22, 38.16408403896778-115.17911897742778, 6, Tropical monsoon,  Michigan 

23, 36.58024998930959-95.3466640970351, 7, Subarctic,  Minnesota 

24, 35.53719193470249-78.47136816313979, -2, Tundra,  Mississippi 

25, 36.43590222484909-95.69740540502781, -10, Ice cap,  Missouri 

26, 38.48100447084641-81.84701342039249, 3, Tropical savanna,  Montana 

27, 38.17602435612181-78.17367943455172, -1, Polar,  Nebraska 

28, 36.151109751379906-101.53570418775563, 8, Tropical rainforest,  Nevada 

29, 36.63957322904612-77.44197572591571, 8, Semi arid,  New Hampshire 

30, 34.98766517315643-100.51314260425347, -2, Tropical rainforest,  New Jersey 

31, 37.440365481363415-88.28712294517258, -8, Tropical rainforest,  New Mexico 

32, 37.44199791928691-84.66703453659153, 9, Tropical rainforest,  New York 

33, 37.869753192328545-114.8988455477278, -4, Subarctic,  North Carolina 

34, 37.32314481477329-93.99714403884471, -9, Desert,  North Dakota 

35, 39.585056772201106-80.65836542222416, -3, Polar,  Ohio 

36, 38.795090977445135-105.01989169829984, 5, Desert,  Oklahoma 

37, 35.45014729185947-97.01121481636228, -8, Ice cap,  Oregon 

38, 34.803846485224454-109.06474505682752, -5, Polar,  Pennsylvania[E] 

39, 37.836424828128365-81.75979553843764, 1, Tundra,  Rhode Island[F] 

40, 34.89273545005281-83.81057348632568, 4, Semi arid,  South Carolina 

41, 37.43600030444805-84.93665386691843, -8, Tropical savanna,  South Dakota 

42, 34.827338124166644-110.25332804297442, -3, Oceanic,  Tennessee 

43, 34.622661870057016-85.13920619404642, -5, Semi arid,  Texas 

44, 38.801183971912664-99.18092747262361, 1, Tundra,  Utah 

45, 36.819910615124215-114.7050237891354, -8, Tundra,  Vermont 

46, 37.536777769328985-101.34421534293216, -11, Humid continental,  Virginia[E] 

47, 36.872549927570184-100.71502964078243, -5, Subarctic,  Washington 

48, 38.64311622344091-83.55113886084457, 1, Alpine,  West Virginia 

49, 35.494961853409826-109.60562669998184, -2, Tropical monsoon,  Wisconsin 

50, 39.05066332681562-101.16943762830043, 1, Semi arid,  Wyoming 

51, 34.534419027900675-85.915547763813, 1, Tropical savanna, District of Columbia

52, 35.300509093366884-110.15093801194134, -1, Semi arid, American Samoa 

53, 36.12005579172558-108.41585228232127, 10, Oceanic, Guam 

54, 37.552185635106085-111.92486941160139, 6, Tundra, Northern Mariana Islands 

55, 38.69805430320941-109.701403443795, 6, Mediterranean, Puerto Rico 

56, 35.22791444995132-117.92677141330324, -9, Mediterranean, U.S. Virgin Islands 

57, 38.483314293525225-117.09527607360631, 4, Humid continental, Baker Island

58, 38.29842571529878-112.81896274520643, 5, Subarctic, Howland Island

59, 38.026787740587444-90.90353882190747, -8, Tundra, Jarvis Island

60, 34.179589936053524-92.78038495146438, 9, Tropical savanna, Johnston Atoll

61, 38.94099214440889-82.06749734601864, 10, Polar, Kingman Reef

62, 36.263926702506474-115.80320224933573, -10, Humid continental, Midway Atoll

63, 37.85381734636264-95.8910056670769, -4, Semi arid, Navassa Island

64, 37.762753204778186-94.23992202991755, 11, Polar, Palmyra Atoll

65, 36.37267587011997-75.99681151841433, 9, Ice cap, Wake Island

